author_id,text,created_at,geo,lang,retweet_count,reply_count,like_count,quote_count,Negative,Neutral,Positive
1241844113806409734,https://t.co/e7CfTMpDQj,2022-08-30 17:49:53+00:00,,zxx,0,0,0,0,0.25203025,0.47640556,0.2715641
16194637,"Conversei com uma pessoa que não confia 100% na urna eletrônica. É a mesma pessoa que “não mexe com PIX porque não entende e tem medo de fazer errado ou de um hacker roubar tudo”.

Se você conhece alguém assim, conversa e não deixa uma ideia tosca virar um voto nulo/branco.",2022-08-30 17:44:46+00:00,,pt,0,0,0,0,0.10322008,0.80882204,0.08795788
1192072181523591168,Eu me retiro carregando a urna eletrônica levando para que seja periciada https://t.co/3sjkUmOd61,2022-08-30 17:27:59+00:00,,pt,0,0,1,0,0.048443653,0.8735567,0.07799967
488760669,Urna eletrônica e códigos-fonte são validados por universidades https://t.co/Hb0etTuOWp https://t.co/EmuybG8qU7,2022-08-30 17:26:07+00:00,,pt,0,0,0,0,0.12378326,0.8304193,0.04579749
76742645,"@Biakicis Não, ainda. Esperemos até 31.Dez.2022 

A urna eletrônica e a sacrossanta democracia brasileira arrancará o bode da sala e abrirá os caminhos para o vosso amaldiçoado ""presidente"" ser trancafiado no presídio de Pedrinhas.",2022-08-30 17:20:06+00:00,{'place_id': '68e019afec7d0ba5'},pt,0,0,0,0,0.09826415,0.83650887,0.06522696
305655302,Votação feita no dia da eleição para auditoria do funcionamento das urnas eletrônicas de seções eleitorais sorteadas no dia anterior. As cédulas de votação são preenchidas e incluídas na urna eletrônica para verificação da regularidade do processo de votação. https://t.co/0WrsXbd5jX,2022-08-30 17:19:27+00:00,,pt,0,0,2,0,0.0968138,0.8664449,0.0367414
1218690565916762112,@Estadao @EstadaoPolitica De moldura não.  Mas de transportadores de urna eletrônica SIM.,2022-08-30 17:18:55+00:00,,pt,0,0,2,0,0.12340758,0.83032286,0.04626952
137119439,"Não acreditam nem em urna eletrônica, nem em pix! https://t.co/Rg1N0KUszg",2022-08-30 17:09:29+00:00,,pt,0,0,4,0,0.18916413,0.73341286,0.07742297
1155682692610088969,"""ah mas a pesquisa é de quem?""
ve a pesquisa
""tem que ver q instituto é esse""

MAS PRA DIZER Q A URNA ELETRONICA VEIO DE CUBA E Q DA PRA SER HACKEADA PELA INTERNET ESSES PUTO N SABEM USAR O GOOGLE NE? https://t.co/mEQzaKQDma",2022-08-30 17:07:58+00:00,,pt,0,0,0,0,0.1956413,0.7536112,0.050747342
1056938981374545920,@JonathanJeanPe1 @RodolphoAzeved @Estadao @EstadaoPolitica E o que é uma urna eletrônica senão um computador nefelibata? O que vc acha acha que tem dentro de uma urna? Porque vcs não acreditam na enquete e acreditam no PIX?,2022-08-30 17:01:18+00:00,,pt,0,0,0,0,0.15889494,0.8111954,0.02990959
